"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"","152","0","0","0","0","0","/usr/sbin/syslogd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7848","0",,"False",,,"152",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"152",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (syslogd)","0","","True","",,,,,
"","155","0","0","0","0","0","/usr/libexec/thermalmonitord","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5532","0",,"False",,,"155",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"155",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (thermalmonitord)","0","","True","",,,,,
"","156","0","0","0","0","0","/usr/libexec/opendirectoryd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5752","0",,"False",,,"156",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"156",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (opendirectoryd)","0","","True","",,,,,
"","157","0","0","0","0","0","/System/Library/PrivateFrameworks/ApplePushService.framework/apsd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2952","0",,"False",,,"157",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"157",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (apsd)","0","","True","",,,,,
"","158","0","0","0","0","0","/usr/sbin/httpd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2180","0",,"False",,,"158",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"158",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (httpd)","0","","True","",,,,,
"","159","0","0","0","0","0","/System/Library/CoreServices/launchservicesd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6920","0",,"False",,,"159",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"159",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (launchservicesd)","0","","True","",,,,,
"","160","0","0","0","0","0","/usr/libexec/timed","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5520","0",,"False",,,"160",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"160",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (timed)","0","","True","",,,,,
"","161","0","0","0","0","0","/Library/Apple/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4364","0",,"False",,,"161",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"161",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (usbmuxd)","0","","True","",,,,,
"","162","0","0","0","0","0","/usr/sbin/securityd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3292","0",,"False",,,"162",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"162",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (securityd)","0","","True","",,,,,
"","163","0","0","0","0","0","/usr/sbin/auditd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7808","0",,"False",,,"163",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"163",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (auditd)","0","","True","",,,,,
"","165","0","0","0","0","0","/usr/libexec/locationd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6532","0",,"False",,,"165",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"165",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (locationd)","0","","True","",,,,,
"","167","0","0","0","0","0","/usr/libexec/autofsd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6792","0",,"False",,,"167",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"167",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (autofsd)","0","","True","",,,,,
"","168","0","0","0","0","0","/usr/libexec/displaypolicyd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5516","0",,"False",,,"168",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"168",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (displaypolicyd)","0","","True","",,,,,
"","169","0","0","0","0","0","/usr/libexec/dasd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6988","0",,"False",,,"169",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"169",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (dasd)","0","","True","",,,,,
